produto,price,entregue
Mouse Gamer,3533.67,True
Tablet,829.43,False
Smartwatch,759.65,True
Monitor,1915.33,True
Cadeira Office,2196.45,True
Webcam HD,1917.82,True
Teclado Mecânico,2003.57,False
Webcam HD,4908.41,False
Monitor,4073.88,True
Smartwatch,3127.54,False
Mouse Gamer,4151.2,True
Monitor,2688.02,True
Smartphone,269.85,True
Teclado Mecânico,3860.1,False
Teclado Mecânico,1205.79,True
Fone de Ouvido,3309.6,False
Mouse Gamer,1454.83,False
Smartphone,2481.75,False
Monitor,4903.37,True
Tablet,791.29,True
Smartwatch,64.31,False
Mouse Gamer,679.0,False
Cadeira Office,1068.58,True
Smartwatch,2797.28,True
Fone de Ouvido,4084.81,False
Smartphone,3663.31,True
Notebook,2200.78,False
Fone de Ouvido,2488.62,False
Cadeira Office,3250.66,True
Fone de Ouvido,588.19,False
Notebook,3084.26,True
Teclado Mecânico,2903.05,False
Fone de Ouvido,1230.91,True
Teclado Mecânico,3444.7,True
Monitor,2863.3,False
Fone de Ouvido,2513.81,True
Fone de Ouvido,2481.9,True
Smartwatch,613.0,False
Monitor,4772.83,False
Smartwatch,1575.76,False
Smartwatch,3308.67,True
Smartphone,1724.49,False
Smartwatch,1586.48,False
Fone de Ouvido,4091.05,False
Monitor,3809.49,False
Tablet,1202.16,False
Smartphone,3199.85,False
Teclado Mecânico,828.02,False
Monitor,1628.37,True
Webcam HD,4577.06,True
Tablet,163.17,False
Tablet,3716.33,False
Monitor,793.8,False
Smartwatch,2536.34,False
Smartphone,2344.34,False
Smartphone,1850.93,False
Teclado Mecânico,3297.63,False
Cadeira Office,4489.64,True
Smartphone,1885.63,False
Fone de Ouvido,4072.67,False
Cadeira Office,2856.02,False
Fone de Ouvido,4792.06,True
Teclado Mecânico,2540.85,False
Webcam HD,3770.77,False
Tablet,1098.91,True
Fone de Ouvido,3123.04,True
Mouse Gamer,4496.47,True
Cadeira Office,500.78,False
Monitor,4254.88,True
Mouse Gamer,938.12,False
Mouse Gamer,4414.05,True
Mouse Gamer,654.57,False
Mouse Gamer,57.9,True
Webcam HD,2722.59,False
Smartphone,4984.32,False
Smartwatch,707.79,False
Mouse Gamer,3442.16,False
Teclado Mecânico,37.42,False
Monitor,2433.44,False
Mouse Gamer,523.26,True
Mouse Gamer,4496.76,False
Fone de Ouvido,1706.3,False
Webcam HD,382.07,True
Smartphone,2949.49,True
Monitor,2156.38,False
Cadeira Office,2413.61,True
Smartphone,4856.38,False
Mouse Gamer,3720.73,False
Notebook,2504.74,False
Webcam HD,2059.2,False
Teclado Mecânico,2404.26,True
Webcam HD,166.01,True
Tablet,90.03,True
Smartwatch,2921.2,True
Mouse Gamer,4143.84,True
Smartphone,4210.62,True
Monitor,1704.23,False
Teclado Mecânico,940.53,False
Mouse Gamer,4260.72,True
Smartphone,415.39,True
Teclado Mecânico,2583.19,False
Cadeira Office,1576.22,False
Webcam HD,1030.28,False
Smartphone,636.18,False
Webcam HD,4840.63,False
Smartwatch,3553.94,True
Tablet,3135.83,False
Teclado Mecânico,1432.18,False
Tablet,2799.8,False
Mouse Gamer,4742.42,False
Mouse Gamer,2290.02,False
Smartwatch,2396.07,False
Fone de Ouvido,4151.73,False
Cadeira Office,2221.79,False
Notebook,1638.9,False
Tablet,1512.06,False
Mouse Gamer,3159.93,True
Fone de Ouvido,127.48,False
Webcam HD,1274.03,False
Mouse Gamer,4752.07,True
Smartwatch,3985.05,True
Fone de Ouvido,2918.71,False
Smartphone,2832.79,True
Mouse Gamer,76.82,True
Smartwatch,1570.04,True
Notebook,495.9,True
Notebook,4243.72,False
Webcam HD,509.66,True
Monitor,1083.88,False
Monitor,4416.43,True
Cadeira Office,3996.39,False
Tablet,2036.92,False
Smartphone,1638.69,True
Tablet,4305.7,True
Mouse Gamer,3282.66,True
Notebook,4696.32,False
Monitor,4866.01,True
Mouse Gamer,3247.39,False
Smartphone,2685.42,False
Monitor,4442.22,True
Smartphone,4510.39,False
Monitor,262.72,True
Monitor,501.47,True
Notebook,1215.99,True
Fone de Ouvido,1098.06,True
Tablet,1677.72,True
Fone de Ouvido,3740.59,True
Webcam HD,3538.66,False
Fone de Ouvido,4861.59,True
Fone de Ouvido,2948.26,False
Teclado Mecânico,2446.64,True
Fone de Ouvido,835.1,False
Mouse Gamer,3410.26,True
Smartwatch,4849.42,False
Smartphone,4339.34,True
Fone de Ouvido,3518.12,False
Webcam HD,359.18,False
